query_id,difficulty,relevance_def,stratum,normal_stratum,degenerate,phi_value_level,V_field_level,positive_count,positive_count_semantic,distinct_videos,filter_value,containment,outside_positives
uca:video_class:0029,video_class,fire,label_stratum,False,False,0.3443,0.5712,50,137,36,Explosion,0.365,87
uca:video_class:0030,video_class,running,label_stratum,False,False,0.0607,0.2079,19,307,18,Explosion,0.062,288
uca:video_class:0031,video_class,falls,label_stratum,False,False,0.0719,0.1609,12,90,10,Fighting,0.133,78
uca:video_class:0032,video_class,fight,label_stratum,False,False,0.1171,0.3653,36,297,24,Fighting,0.121,261
uca:video_class:0033,video_class,running,label_stratum,False,False,0.0011,0.2079,9,307,8,Fighting,0.029,298
uca:video_class:0034,video_class,door,label_stratum,False,False,0.0081,0.1869,24,703,16,Fighting,0.034,679
uca:video_class:0035,video_class,take,label_stratum,False,False,0.0124,0.1381,9,409,9,Fighting,0.022,400
uca:video_class:0036,video_class,enterexit,label_stratum,False,False,0.02,0.1251,5,326,5,Fighting,0.015,321
uca:video_class:0037,video_class,running,label_stratum,True,False,0.1786,0.2079,22,307,20,Normal_Videos,0.072,285
uca:video_class:0038,video_class,money,label_stratum,True,False,0.0069,0.1451,52,117,31,Normal_Videos,0.444,65
uca:video_class:0039,video_class,door,label_stratum,True,False,0.0792,0.1869,251,703,167,Normal_Videos,0.357,452
uca:video_class:0040,video_class,take,label_stratum,True,False,0.0411,0.1381,160,409,128,Normal_Videos,0.391,249
uca:video_class:0041,video_class,enterexit,label_stratum,True,False,0.0125,0.1251,162,326,136,Normal_Videos,0.497,164
uca:video_class:0042,video_class,falls,label_stratum,False,False,0.0511,0.1609,16,90,16,RoadAccidents,0.178,74
uca:video_class:0043,video_class,fight,label_stratum,False,False,0.1885,0.3653,85,297,78,RoadAccidents,0.286,212
uca:video_class:0044,video_class,running,label_stratum,False,False,0.0455,0.2079,37,307,32,RoadAccidents,0.121,270
uca:video_class:0045,video_class,crash,label_stratum,False,True,0.3499,0.3508,65,72,53,RoadAccidents,0.903,7
uca:video_class:0046,video_class,door,label_stratum,False,False,0.0797,0.1869,8,703,8,RoadAccidents,0.011,695
uca:video_class:0047,video_class,take,label_stratum,False,False,0.0408,0.1381,12,409,12,RoadAccidents,0.029,397
uca:video_class:0048,video_class,falls,label_stratum,False,False,0.0004,0.1609,8,90,7,Robbery,0.089,82
uca:video_class:0049,video_class,fight,label_stratum,False,False,0.0076,0.3653,29,297,23,Robbery,0.098,268
uca:video_class:0050,video_class,weapon,label_stratum,False,False,0.2773,0.3271,87,143,64,Robbery,0.608,56
uca:video_class:0051,video_class,running,label_stratum,False,False,0.0542,0.2079,48,307,39,Robbery,0.156,259
uca:video_class:0052,video_class,money,label_stratum,False,False,0.1098,0.1451,37,117,30,Robbery,0.316,80
uca:video_class:0053,video_class,door,label_stratum,False,False,0.055,0.1869,93,703,59,Robbery,0.132,610
uca:video_class:0054,video_class,take,label_stratum,False,False,0.0384,0.1381,53,409,42,Robbery,0.13,356
uca:video_class:0055,video_class,enterexit,label_stratum,False,False,0.0535,0.1251,50,326,44,Robbery,0.153,276
uca:video_class:0056,video_class,falls,label_stratum,False,False,0.0525,0.1609,9,90,7,Shooting,0.1,81
uca:video_class:0057,video_class,fight,label_stratum,False,False,0.0055,0.3653,7,297,6,Shooting,0.024,290
uca:video_class:0058,video_class,weapon,label_stratum,False,False,0.1481,0.3271,27,143,20,Shooting,0.189,116
uca:video_class:0059,video_class,running,label_stratum,False,False,0.0511,0.2079,20,307,15,Shooting,0.065,287
uca:video_class:0060,video_class,door,label_stratum,False,False,0.0135,0.1869,15,703,10,Shooting,0.021,688
uca:video_class:0061,video_class,take,label_stratum,False,False,0.0051,0.1381,10,409,9,Shooting,0.024,399
uca:video_class:0062,video_class,enterexit,label_stratum,False,False,0.0174,0.1251,5,326,5,Shooting,0.015,321
uca:video_class:0063,video_class,running,label_stratum,False,False,0.0089,0.2079,7,307,5,Shoplifting,0.023,300
uca:video_class:0064,video_class,door,label_stratum,False,False,0.0346,0.1869,9,703,8,Shoplifting,0.013,694
uca:video_class:0065,video_class,take,label_stratum,False,False,0.1013,0.1381,39,409,26,Shoplifting,0.095,370
uca:video_class:0066,video_class,enterexit,label_stratum,False,False,0.0015,0.1251,10,326,9,Shoplifting,0.031,316
uca:video_class:0067,video_class,running,label_stratum,False,False,0.0298,0.2079,28,307,20,Stealing,0.091,279
uca:video_class:0068,video_class,door,label_stratum,False,False,0.0632,0.1869,72,703,46,Stealing,0.102,631
uca:video_class:0069,video_class,take,label_stratum,False,False,0.0258,0.1381,34,409,29,Stealing,0.083,375
uca:video_class:0070,video_class,enterexit,label_stratum,False,False,0.0044,0.1251,18,326,14,Stealing,0.055,308
uca:video_class:0071,video_class,falls,label_stratum,False,False,0.0191,0.1609,5,90,5,Vandalism,0.056,85
uca:video_class:0072,video_class,fight,label_stratum,False,False,0.0331,0.3653,16,297,10,Vandalism,0.054,281
uca:video_class:0073,video_class,running,label_stratum,False,False,0.0836,0.2079,28,307,17,Vandalism,0.091,279
uca:video_class:0074,video_class,door,label_stratum,False,False,0.0083,0.1869,23,703,16,Vandalism,0.033,680
uca:video_class:0075,video_class,take,label_stratum,False,False,0.0314,0.1381,20,409,17,Vandalism,0.049,389
uca:video_duration_bin:0076,video_duration_bin,falls,container_clean,False,False,0.0057,0.0065,32,90,27,long,0.356,58
uca:video_duration_bin:0077,video_duration_bin,fight,container_clean,False,False,0.0266,0.0458,82,297,56,long,0.276,215
uca:video_duration_bin:0078,video_duration_bin,fire,container_clean,False,False,0.0517,0.052,23,137,14,long,0.168,114
uca:video_duration_bin:0079,video_duration_bin,weapon,container_clean,False,False,0.0641,0.0649,19,143,15,long,0.133,124
uca:video_duration_bin:0080,video_duration_bin,running,container_clean,False,False,0.0623,0.0706,62,307,51,long,0.202,245
uca:video_duration_bin:0081,video_duration_bin,crash,container_clean,False,False,0.047,0.0605,9,72,7,long,0.125,63
uca:video_duration_bin:0082,video_duration_bin,money,container_clean,False,False,0.0345,0.0346,25,117,16,long,0.214,92
uca:video_duration_bin:0083,video_duration_bin,door,container_clean,False,False,0.0304,0.0304,263,703,164,long,0.374,440
uca:video_duration_bin:0084,video_duration_bin,take,container_clean,False,False,0.0125,0.0147,127,409,103,long,0.311,282
uca:video_duration_bin:0085,video_duration_bin,enterexit,container_clean,False,False,0.0337,0.0391,131,326,107,long,0.402,195
uca:video_duration_bin:0086,video_duration_bin,falls,container_clean,False,False,0.0,0.0065,30,90,27,medium,0.333,60
uca:video_duration_bin:0087,video_duration_bin,fight,container_clean,False,False,0.0189,0.0458,87,297,69,medium,0.293,210
uca:video_duration_bin:0088,video_duration_bin,fire,container_clean,False,False,0.0213,0.052,55,137,36,medium,0.401,82
uca:video_duration_bin:0089,video_duration_bin,weapon,container_clean,False,False,0.0231,0.0649,58,143,41,medium,0.406,85
uca:video_duration_bin:0090,video_duration_bin,running,container_clean,False,False,0.0025,0.0706,104,307,86,medium,0.339,203
uca:video_duration_bin:0091,video_duration_bin,crash,container_clean,False,False,0.0094,0.0605,21,72,16,medium,0.292,51
uca:video_duration_bin:0092,video_duration_bin,money,container_clean,False,False,0.0148,0.0346,45,117,32,medium,0.385,72
uca:video_duration_bin:0093,video_duration_bin,door,container_clean,False,False,0.0163,0.0304,219,703,149,medium,0.312,484
uca:video_duration_bin:0094,video_duration_bin,take,container_clean,False,False,0.013,0.0147,146,409,114,medium,0.357,263
uca:video_duration_bin:0095,video_duration_bin,enterexit,container_clean,False,False,0.0004,0.0391,109,326,91,medium,0.334,217
uca:video_duration_bin:0096,video_duration_bin,falls,container_clean,False,False,0.0056,0.0065,28,90,28,short,0.311,62
uca:video_duration_bin:0097,video_duration_bin,fight,container_clean,False,False,0.0456,0.0458,128,297,110,short,0.431,169
uca:video_duration_bin:0098,video_duration_bin,fire,container_clean,False,False,0.0305,0.052,59,137,43,short,0.431,78
uca:video_duration_bin:0099,video_duration_bin,weapon,container_clean,False,False,0.041,0.0649,66,143,49,short,0.462,77
uca:video_duration_bin:0100,video_duration_bin,running,container_clean,False,False,0.0598,0.0706,141,307,109,short,0.459,166
uca:video_duration_bin:0101,video_duration_bin,crash,container_clean,False,False,0.0564,0.0605,42,72,36,short,0.583,30
uca:video_duration_bin:0102,video_duration_bin,money,container_clean,False,False,0.0197,0.0346,47,117,32,short,0.402,70
uca:video_duration_bin:0103,video_duration_bin,door,container_clean,False,False,0.0141,0.0304,221,703,141,short,0.314,482
uca:video_duration_bin:0104,video_duration_bin,take,container_clean,False,False,0.0005,0.0147,136,409,114,short,0.333,273
uca:video_duration_bin:0105,video_duration_bin,enterexit,container_clean,False,False,0.0341,0.0391,86,326,78,short,0.264,240
uca:event_position_bin:0106,event_position_bin,falls,annotation_timing,False,False,0.0204,0.0206,28,90,27,early,0.311,62
uca:event_position_bin:0107,event_position_bin,fight,annotation_timing,False,False,0.0071,0.0448,122,297,113,early,0.411,175
uca:event_position_bin:0108,event_position_bin,fire,annotation_timing,False,False,0.0465,0.0472,33,137,30,early,0.241,104
uca:event_position_bin:0109,event_position_bin,weapon,annotation_timing,False,False,0.0075,0.0187,53,143,47,early,0.371,90
uca:event_position_bin:0110,event_position_bin,running,annotation_timing,False,False,0.0362,0.0362,97,307,89,early,0.316,210
uca:event_position_bin:0111,event_position_bin,crash,annotation_timing,False,False,0.0194,0.0332,22,72,21,early,0.306,50
uca:event_position_bin:0112,event_position_bin,money,annotation_timing,False,False,0.01,0.0118,42,117,36,early,0.359,75
uca:event_position_bin:0113,event_position_bin,door,annotation_timing,False,False,0.0075,0.0129,285,703,237,early,0.405,418
uca:event_position_bin:0114,event_position_bin,take,annotation_timing,False,False,0.0541,0.0545,120,409,113,early,0.293,289
uca:event_position_bin:0115,event_position_bin,enterexit,annotation_timing,False,False,0.0156,0.0171,118,326,114,early,0.362,208
uca:event_position_bin:0116,event_position_bin,falls,annotation_timing,False,False,0.0081,0.0206,29,90,29,late,0.322,61
uca:event_position_bin:0117,event_position_bin,fight,annotation_timing,False,False,0.0416,0.0448,61,297,56,late,0.205,236
uca:event_position_bin:0118,event_position_bin,fire,annotation_timing,False,False,0.0311,0.0472,53,137,50,late,0.387,84
uca:event_position_bin:0119,event_position_bin,weapon,annotation_timing,False,False,0.0108,0.0187,37,143,34,late,0.259,106
uca:event_position_bin:0120,event_position_bin,running,annotation_timing,False,False,0.0202,0.0362,102,307,102,late,0.332,205
uca:event_position_bin:0121,event_position_bin,crash,annotation_timing,False,False,0.0129,0.0332,17,72,15,late,0.236,55
uca:event_position_bin:0122,event_position_bin,money,annotation_timing,False,False,0.0002,0.0118,34,117,27,late,0.291,83
uca:event_position_bin:0123,event_position_bin,door,annotation_timing,False,False,0.0128,0.0129,193,703,184,late,0.275,510
uca:event_position_bin:0124,event_position_bin,take,annotation_timing,False,False,0.0335,0.0545,143,409,139,late,0.35,266
uca:event_position_bin:0125,event_position_bin,enterexit,annotation_timing,False,False,0.0141,0.0171,104,326,102,late,0.319,222
uca:event_position_bin:0126,event_position_bin,falls,annotation_timing,False,False,0.0135,0.0206,33,90,32,mid,0.367,57
uca:event_position_bin:0127,event_position_bin,fight,annotation_timing,False,False,0.0332,0.0448,114,297,109,mid,0.384,183
uca:event_position_bin:0128,event_position_bin,fire,annotation_timing,False,False,0.0186,0.0472,51,137,47,mid,0.372,86
uca:event_position_bin:0129,event_position_bin,weapon,annotation_timing,False,False,0.0184,0.0187,53,143,45,mid,0.371,90
uca:event_position_bin:0130,event_position_bin,running,annotation_timing,False,False,0.0183,0.0362,108,307,96,mid,0.352,199
uca:event_position_bin:0131,event_position_bin,crash,annotation_timing,False,False,0.0331,0.0332,33,72,29,mid,0.458,39
uca:event_position_bin:0132,event_position_bin,money,annotation_timing,False,False,0.0107,0.0118,41,117,39,mid,0.35,76
uca:event_position_bin:0133,event_position_bin,door,annotation_timing,False,False,0.0046,0.0129,225,703,207,mid,0.32,478
uca:event_position_bin:0134,event_position_bin,take,annotation_timing,False,False,0.0242,0.0545,146,409,142,mid,0.357,263
uca:event_position_bin:0135,event_position_bin,enterexit,annotation_timing,False,False,0.0025,0.0171,104,326,102,mid,0.319,222
