pair,kind,selectivity,replicate,method,recall_at_10
sig_has_pedestrian==True,natural,0.39096,4,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==True,natural,0.39096,5,postfilter_hnsw_K1x,0.9295
sig_has_pedestrian==True,natural,0.39096,5,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==True,natural,0.39096,5,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==True,natural,0.39096,5,single_stage_ivf_batch_np8,0.9975
sig_has_pedestrian==True,natural,0.39096,5,single_stage_ivf_batch_np32,0.9995
sig_has_yellow==False,natural,0.27117,1,postfilter_hnsw_K1x,0.899
sig_has_yellow==False,natural,0.27117,1,postfilter_hnsw_K2x,0.9995
sig_has_yellow==False,natural,0.27117,1,postfilter_hnsw_K4x,0.9995
sig_has_yellow==False,natural,0.27117,1,single_stage_ivf_batch_np8,0.996
sig_has_yellow==False,natural,0.27117,1,single_stage_ivf_batch_np32,1.0
sig_has_yellow==False,natural,0.27117,2,postfilter_hnsw_K1x,0.8815
sig_has_yellow==False,natural,0.27117,2,postfilter_hnsw_K2x,0.998
sig_has_yellow==False,natural,0.27117,2,postfilter_hnsw_K4x,0.998
sig_has_yellow==False,natural,0.27117,2,single_stage_ivf_batch_np8,0.996
sig_has_yellow==False,natural,0.27117,2,single_stage_ivf_batch_np32,1.0
sig_has_yellow==False,natural,0.27117,3,postfilter_hnsw_K1x,0.877
sig_has_yellow==False,natural,0.27117,3,postfilter_hnsw_K2x,0.998
sig_has_yellow==False,natural,0.27117,3,postfilter_hnsw_K4x,0.9985
sig_has_yellow==False,natural,0.27117,3,single_stage_ivf_batch_np8,0.9955
sig_has_yellow==False,natural,0.27117,3,single_stage_ivf_batch_np32,1.0
sig_has_yellow==False,natural,0.27117,4,postfilter_hnsw_K1x,0.8695
sig_has_yellow==False,natural,0.27117,4,postfilter_hnsw_K2x,0.9995
sig_has_yellow==False,natural,0.27117,4,postfilter_hnsw_K4x,0.9995
sig_has_yellow==False,natural,0.27117,4,single_stage_ivf_batch_np8,0.995
sig_has_yellow==False,natural,0.27117,4,single_stage_ivf_batch_np32,0.9995
sig_has_yellow==False,natural,0.27117,5,postfilter_hnsw_K1x,0.901
sig_has_yellow==False,natural,0.27117,5,postfilter_hnsw_K2x,0.999
sig_has_yellow==False,natural,0.27117,5,postfilter_hnsw_K4x,0.999
sig_has_yellow==False,natural,0.27117,5,single_stage_ivf_batch_np8,0.998
sig_has_yellow==False,natural,0.27117,5,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==False,natural,0.50868,1,postfilter_hnsw_K1x,0.942
sig_has_pedestrian==False,natural,0.50868,1,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==False,natural,0.50868,1,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==False,natural,0.50868,1,single_stage_ivf_batch_np8,0.997
sig_has_pedestrian==False,natural,0.50868,1,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==False,natural,0.50868,2,postfilter_hnsw_K1x,0.9145
sig_has_pedestrian==False,natural,0.50868,2,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==False,natural,0.50868,2,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==False,natural,0.50868,2,single_stage_ivf_batch_np8,0.9975
sig_has_pedestrian==False,natural,0.50868,2,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==False,natural,0.50868,3,postfilter_hnsw_K1x,0.9215
sig_has_pedestrian==False,natural,0.50868,3,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==False,natural,0.50868,3,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==False,natural,0.50868,3,single_stage_ivf_batch_np8,0.998
sig_has_pedestrian==False,natural,0.50868,3,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==False,natural,0.50868,4,postfilter_hnsw_K1x,0.913
sig_has_pedestrian==False,natural,0.50868,4,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==False,natural,0.50868,4,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==False,natural,0.50868,4,single_stage_ivf_batch_np8,0.998
sig_has_pedestrian==False,natural,0.50868,4,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==False,natural,0.50868,5,postfilter_hnsw_K1x,0.9135
sig_has_pedestrian==False,natural,0.50868,5,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==False,natural,0.50868,5,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==False,natural,0.50868,5,single_stage_ivf_batch_np8,0.998
sig_has_pedestrian==False,natural,0.50868,5,single_stage_ivf_batch_np32,1.0
veh_density_bin==low,natural,0.29764,1,postfilter_hnsw_K1x,0.8895
veh_density_bin==low,natural,0.29764,1,postfilter_hnsw_K2x,0.9995
veh_density_bin==low,natural,0.29764,1,postfilter_hnsw_K4x,0.9995
veh_density_bin==low,natural,0.29764,1,single_stage_ivf_batch_np8,0.9975
veh_density_bin==low,natural,0.29764,1,single_stage_ivf_batch_np32,1.0
veh_density_bin==low,natural,0.29764,2,postfilter_hnsw_K1x,0.893
veh_density_bin==low,natural,0.29764,2,postfilter_hnsw_K2x,0.999
veh_density_bin==low,natural,0.29764,2,postfilter_hnsw_K4x,0.999
veh_density_bin==low,natural,0.29764,2,single_stage_ivf_batch_np8,0.9975
veh_density_bin==low,natural,0.29764,2,single_stage_ivf_batch_np32,1.0
veh_density_bin==low,natural,0.29764,3,postfilter_hnsw_K1x,0.914
veh_density_bin==low,natural,0.29764,3,postfilter_hnsw_K2x,1.0
veh_density_bin==low,natural,0.29764,3,postfilter_hnsw_K4x,1.0
veh_density_bin==low,natural,0.29764,3,single_stage_ivf_batch_np8,0.9975
veh_density_bin==low,natural,0.29764,3,single_stage_ivf_batch_np32,1.0
veh_density_bin==low,natural,0.29764,4,postfilter_hnsw_K1x,0.907
veh_density_bin==low,natural,0.29764,4,postfilter_hnsw_K2x,0.9975
veh_density_bin==low,natural,0.29764,4,postfilter_hnsw_K4x,0.9985
veh_density_bin==low,natural,0.29764,4,single_stage_ivf_batch_np8,0.996
veh_density_bin==low,natural,0.29764,4,single_stage_ivf_batch_np32,0.9995
veh_density_bin==low,natural,0.29764,5,postfilter_hnsw_K1x,0.8995
veh_density_bin==low,natural,0.29764,5,postfilter_hnsw_K2x,0.9995
veh_density_bin==low,natural,0.29764,5,postfilter_hnsw_K4x,0.9995
veh_density_bin==low,natural,0.29764,5,single_stage_ivf_batch_np8,0.998
veh_density_bin==low,natural,0.29764,5,single_stage_ivf_batch_np32,1.0
veh_density_bin==mid,natural,0.27268,1,postfilter_hnsw_K1x,0.9005
veh_density_bin==mid,natural,0.27268,1,postfilter_hnsw_K2x,0.9995
veh_density_bin==mid,natural,0.27268,1,postfilter_hnsw_K4x,0.9995
veh_density_bin==mid,natural,0.27268,1,single_stage_ivf_batch_np8,0.9965
veh_density_bin==mid,natural,0.27268,1,single_stage_ivf_batch_np32,1.0
veh_density_bin==mid,natural,0.27268,2,postfilter_hnsw_K1x,0.909
veh_density_bin==mid,natural,0.27268,2,postfilter_hnsw_K2x,0.999
veh_density_bin==mid,natural,0.27268,2,postfilter_hnsw_K4x,0.999
veh_density_bin==mid,natural,0.27268,2,single_stage_ivf_batch_np8,0.997
veh_density_bin==mid,natural,0.27268,2,single_stage_ivf_batch_np32,1.0
veh_density_bin==mid,natural,0.27268,3,postfilter_hnsw_K1x,0.8965
veh_density_bin==mid,natural,0.27268,3,postfilter_hnsw_K2x,1.0
veh_density_bin==mid,natural,0.27268,3,postfilter_hnsw_K4x,1.0
veh_density_bin==mid,natural,0.27268,3,single_stage_ivf_batch_np8,0.9965
veh_density_bin==mid,natural,0.27268,3,single_stage_ivf_batch_np32,0.9995
veh_density_bin==mid,natural,0.27268,4,postfilter_hnsw_K1x,0.9055
veh_density_bin==mid,natural,0.27268,4,postfilter_hnsw_K2x,0.9995
veh_density_bin==mid,natural,0.27268,4,postfilter_hnsw_K4x,1.0
veh_density_bin==mid,natural,0.27268,4,single_stage_ivf_batch_np8,0.9985
veh_density_bin==mid,natural,0.27268,4,single_stage_ivf_batch_np32,0.9995
veh_density_bin==mid,natural,0.27268,5,postfilter_hnsw_K1x,0.8985
veh_density_bin==mid,natural,0.27268,5,postfilter_hnsw_K2x,1.0
veh_density_bin==mid,natural,0.27268,5,postfilter_hnsw_K4x,1.0
veh_density_bin==mid,natural,0.27268,5,single_stage_ivf_batch_np8,0.996
veh_density_bin==mid,natural,0.27268,5,single_stage_ivf_batch_np32,0.9995
veh_density_bin==high,natural,0.32931,1,postfilter_hnsw_K1x,0.894
veh_density_bin==high,natural,0.32931,1,postfilter_hnsw_K2x,0.9985
veh_density_bin==high,natural,0.32931,1,postfilter_hnsw_K4x,0.9985
veh_density_bin==high,natural,0.32931,1,single_stage_ivf_batch_np8,0.9975
veh_density_bin==high,natural,0.32931,1,single_stage_ivf_batch_np32,1.0
veh_density_bin==high,natural,0.32931,2,postfilter_hnsw_K1x,0.8965
veh_density_bin==high,natural,0.32931,2,postfilter_hnsw_K2x,0.999
veh_density_bin==high,natural,0.32931,2,postfilter_hnsw_K4x,1.0
veh_density_bin==high,natural,0.32931,2,single_stage_ivf_batch_np8,0.9985
veh_density_bin==high,natural,0.32931,2,single_stage_ivf_batch_np32,1.0
veh_density_bin==high,natural,0.32931,3,postfilter_hnsw_K1x,0.912
veh_density_bin==high,natural,0.32931,3,postfilter_hnsw_K2x,1.0
veh_density_bin==high,natural,0.32931,3,postfilter_hnsw_K4x,1.0
veh_density_bin==high,natural,0.32931,3,single_stage_ivf_batch_np8,0.9975
veh_density_bin==high,natural,0.32931,3,single_stage_ivf_batch_np32,1.0
veh_density_bin==high,natural,0.32931,4,postfilter_hnsw_K1x,0.905
veh_density_bin==high,natural,0.32931,4,postfilter_hnsw_K2x,1.0
veh_density_bin==high,natural,0.32931,4,postfilter_hnsw_K4x,1.0
veh_density_bin==high,natural,0.32931,4,single_stage_ivf_batch_np8,0.998
veh_density_bin==high,natural,0.32931,4,single_stage_ivf_batch_np32,1.0
veh_density_bin==high,natural,0.32931,5,postfilter_hnsw_K1x,0.9065
veh_density_bin==high,natural,0.32931,5,postfilter_hnsw_K2x,1.0
veh_density_bin==high,natural,0.32931,5,postfilter_hnsw_K4x,1.0
veh_density_bin==high,natural,0.32931,5,single_stage_ivf_batch_np8,0.999
veh_density_bin==high,natural,0.32931,5,single_stage_ivf_batch_np32,1.0
hour==6,natural,0.06983,1,postfilter_hnsw_K1x,0.86
hour==6,natural,0.06983,1,postfilter_hnsw_K2x,0.949
hour==6,natural,0.06983,1,postfilter_hnsw_K4x,0.949
hour==6,natural,0.06983,1,single_stage_ivf_batch_np8,0.9805
hour==6,natural,0.06983,1,single_stage_ivf_batch_np32,0.9985
hour==6,natural,0.06983,2,postfilter_hnsw_K1x,0.88
hour==6,natural,0.06983,2,postfilter_hnsw_K2x,0.949
hour==6,natural,0.06983,2,postfilter_hnsw_K4x,0.949
hour==6,natural,0.06983,2,single_stage_ivf_batch_np8,0.9815
hour==6,natural,0.06983,2,single_stage_ivf_batch_np32,0.9985
hour==6,natural,0.06983,3,postfilter_hnsw_K1x,0.87
hour==6,natural,0.06983,3,postfilter_hnsw_K2x,0.957
hour==6,natural,0.06983,3,postfilter_hnsw_K4x,0.957
hour==6,natural,0.06983,3,single_stage_ivf_batch_np8,0.981
hour==6,natural,0.06983,3,single_stage_ivf_batch_np32,0.9965
hour==6,natural,0.06983,4,postfilter_hnsw_K1x,0.8835
hour==6,natural,0.06983,4,postfilter_hnsw_K2x,0.949
hour==6,natural,0.06983,4,postfilter_hnsw_K4x,0.949
hour==6,natural,0.06983,4,single_stage_ivf_batch_np8,0.982
hour==6,natural,0.06983,4,single_stage_ivf_batch_np32,0.9985
hour==6,natural,0.06983,5,postfilter_hnsw_K1x,0.873
hour==6,natural,0.06983,5,postfilter_hnsw_K2x,0.95
hour==6,natural,0.06983,5,postfilter_hnsw_K4x,0.95
hour==6,natural,0.06983,5,single_stage_ivf_batch_np8,0.9805
hour==6,natural,0.06983,5,single_stage_ivf_batch_np32,0.9985
hour==7,natural,0.07033,1,postfilter_hnsw_K1x,0.88
hour==7,natural,0.07033,1,postfilter_hnsw_K2x,0.956
hour==7,natural,0.07033,1,postfilter_hnsw_K4x,0.956
hour==7,natural,0.07033,1,single_stage_ivf_batch_np8,0.9865
hour==7,natural,0.07033,1,single_stage_ivf_batch_np32,0.9985
hour==7,natural,0.07033,2,postfilter_hnsw_K1x,0.869
hour==7,natural,0.07033,2,postfilter_hnsw_K2x,0.952
hour==7,natural,0.07033,2,postfilter_hnsw_K4x,0.952
hour==7,natural,0.07033,2,single_stage_ivf_batch_np8,0.985
hour==7,natural,0.07033,2,single_stage_ivf_batch_np32,0.9985
hour==7,natural,0.07033,3,postfilter_hnsw_K1x,0.873
hour==7,natural,0.07033,3,postfilter_hnsw_K2x,0.948
hour==7,natural,0.07033,3,postfilter_hnsw_K4x,0.948
hour==7,natural,0.07033,3,single_stage_ivf_batch_np8,0.985
hour==7,natural,0.07033,3,single_stage_ivf_batch_np32,0.9975
hour==7,natural,0.07033,4,postfilter_hnsw_K1x,0.873
hour==7,natural,0.07033,4,postfilter_hnsw_K2x,0.9575
hour==7,natural,0.07033,4,postfilter_hnsw_K4x,0.9575
hour==7,natural,0.07033,4,single_stage_ivf_batch_np8,0.9885
hour==7,natural,0.07033,4,single_stage_ivf_batch_np32,0.997
hour==7,natural,0.07033,5,postfilter_hnsw_K1x,0.885
hour==7,natural,0.07033,5,postfilter_hnsw_K2x,0.96
hour==7,natural,0.07033,5,postfilter_hnsw_K4x,0.96
hour==7,natural,0.07033,5,single_stage_ivf_batch_np8,0.9865
hour==7,natural,0.07033,5,single_stage_ivf_batch_np32,0.999
hour==8,natural,0.07039,1,postfilter_hnsw_K1x,0.865
hour==8,natural,0.07039,1,postfilter_hnsw_K2x,0.9465
hour==8,natural,0.07039,1,postfilter_hnsw_K4x,0.9465
hour==8,natural,0.07039,1,single_stage_ivf_batch_np8,0.986
hour==8,natural,0.07039,1,single_stage_ivf_batch_np32,1.0
hour==8,natural,0.07039,2,postfilter_hnsw_K1x,0.8935
hour==8,natural,0.07039,2,postfilter_hnsw_K2x,0.956
hour==8,natural,0.07039,2,postfilter_hnsw_K4x,0.956
hour==8,natural,0.07039,2,single_stage_ivf_batch_np8,0.986
hour==8,natural,0.07039,2,single_stage_ivf_batch_np32,0.9985
hour==8,natural,0.07039,3,postfilter_hnsw_K1x,0.88
hour==8,natural,0.07039,3,postfilter_hnsw_K2x,0.9525
hour==8,natural,0.07039,3,postfilter_hnsw_K4x,0.9525
hour==8,natural,0.07039,3,single_stage_ivf_batch_np8,0.982
hour==8,natural,0.07039,3,single_stage_ivf_batch_np32,0.9975
hour==8,natural,0.07039,4,postfilter_hnsw_K1x,0.8795
hour==8,natural,0.07039,4,postfilter_hnsw_K2x,0.9565
hour==8,natural,0.07039,4,postfilter_hnsw_K4x,0.9565
hour==8,natural,0.07039,4,single_stage_ivf_batch_np8,0.9835
hour==8,natural,0.07039,4,single_stage_ivf_batch_np32,0.9985
hour==8,natural,0.07039,5,postfilter_hnsw_K1x,0.8495
hour==8,natural,0.07039,5,postfilter_hnsw_K2x,0.9515
hour==8,natural,0.07039,5,postfilter_hnsw_K4x,0.9515
hour==8,natural,0.07039,5,single_stage_ivf_batch_np8,0.981
hour==8,natural,0.07039,5,single_stage_ivf_batch_np32,0.9965
hour==9,natural,0.0467,1,postfilter_hnsw_K1x,0.8565
hour==9,natural,0.0467,1,postfilter_hnsw_K2x,0.877
hour==9,natural,0.0467,1,postfilter_hnsw_K4x,0.877
hour==9,natural,0.0467,1,single_stage_ivf_batch_np8,0.977
hour==9,natural,0.0467,1,single_stage_ivf_batch_np32,0.997
hour==9,natural,0.0467,2,postfilter_hnsw_K1x,0.85
hour==9,natural,0.0467,2,postfilter_hnsw_K2x,0.889
hour==9,natural,0.0467,2,postfilter_hnsw_K4x,0.889
hour==9,natural,0.0467,2,single_stage_ivf_batch_np8,0.9695
hour==9,natural,0.0467,2,single_stage_ivf_batch_np32,0.9965
hour==9,natural,0.0467,3,postfilter_hnsw_K1x,0.839
hour==9,natural,0.0467,3,postfilter_hnsw_K2x,0.8795
hour==9,natural,0.0467,3,postfilter_hnsw_K4x,0.8795
hour==9,natural,0.0467,3,single_stage_ivf_batch_np8,0.969
hour==9,natural,0.0467,3,single_stage_ivf_batch_np32,0.9935
hour==9,natural,0.0467,4,postfilter_hnsw_K1x,0.844
hour==9,natural,0.0467,4,postfilter_hnsw_K2x,0.8745
hour==9,natural,0.0467,4,postfilter_hnsw_K4x,0.8745
hour==9,natural,0.0467,4,single_stage_ivf_batch_np8,0.9725
hour==9,natural,0.0467,4,single_stage_ivf_batch_np32,0.9975
hour==9,natural,0.0467,5,postfilter_hnsw_K1x,0.83
hour==9,natural,0.0467,5,postfilter_hnsw_K2x,0.8695
hour==9,natural,0.0467,5,postfilter_hnsw_K4x,0.8695
hour==9,natural,0.0467,5,single_stage_ivf_batch_np8,0.977
hour==9,natural,0.0467,5,single_stage_ivf_batch_np32,0.998
hour==13,natural,0.02319,1,postfilter_hnsw_K1x,0.634
hour==13,natural,0.02319,1,postfilter_hnsw_K2x,0.6345
hour==13,natural,0.02319,1,postfilter_hnsw_K4x,0.6345
hour==13,natural,0.02319,1,single_stage_ivf_batch_np8,0.915
hour==13,natural,0.02319,1,single_stage_ivf_batch_np32,0.9905
hour==13,natural,0.02319,2,postfilter_hnsw_K1x,0.6765
hour==13,natural,0.02319,2,postfilter_hnsw_K2x,0.6765
hour==13,natural,0.02319,2,postfilter_hnsw_K4x,0.6765
hour==13,natural,0.02319,2,single_stage_ivf_batch_np8,0.9275
hour==13,natural,0.02319,2,single_stage_ivf_batch_np32,0.993
hour==13,natural,0.02319,3,postfilter_hnsw_K1x,0.6365
hour==13,natural,0.02319,3,postfilter_hnsw_K2x,0.6385
hour==13,natural,0.02319,3,postfilter_hnsw_K4x,0.6385
hour==13,natural,0.02319,3,single_stage_ivf_batch_np8,0.904
hour==13,natural,0.02319,3,single_stage_ivf_batch_np32,0.9885
hour==13,natural,0.02319,4,postfilter_hnsw_K1x,0.6605
hour==13,natural,0.02319,4,postfilter_hnsw_K2x,0.6615
hour==13,natural,0.02319,4,postfilter_hnsw_K4x,0.6615
hour==13,natural,0.02319,4,single_stage_ivf_batch_np8,0.931
