model,visual_video_id,qtype,gold,pred,correct,raw
qwen2vl,33011_2021110406521205,stopped,no,no,1,No.
qwen2vl,112022_2021110415204636,stopped,no,no,1,No.
qwen2vl,22011_2021110418555453,stopped,no,yes,0,Yes.
qwen2vl,63022_2021110420353830,stopped,no,no,1,No.
qwen2vl,61011_2021110417315700,stopped,no,yes,0,Yes.
qwen2vl,141011_2021110414401884,stopped,no,yes,0,Yes.
qwen2vl,161011_2021110319452842,stopped,no,yes,0,Yes.
qwen2vl,21022_2021110318332573,stopped,no,yes,0,Yes.
qwen2vl,92022_2021110415201311,stopped,no,no,1,No.
qwen2vl,61011_2021110506290700,stopped,no,yes,0,Yes.
qwen2vl,22011_2021110219264000,stopped,no,yes,0,Yes.
qwen2vl,93011_2021110415295526,stopped,no,yes,0,Yes.
qwen2vl,43011_2021110408584900,stopped,no,yes,0,Yes.
qwen2vl,134022_2021110219515373,stopped,no,yes,0,Yes.
qwen2vl,83011_2021110313520477,stopped,no,yes,0,Yes.
qwen2vl,13022_2021110418434953,stopped,no,yes,0,Yes.
qwen2vl,33011_2021110406321063,stopped,no,yes,0,Yes.
qwen2vl,81011_2021110317241397,stopped,no,yes,0,Yes.
qwen2vl,132011_2021110415244227,stopped,no,yes,0,Yes.
qwen2vl,161011_2021110406203013,stopped,no,yes,0,Yes.
qwen2vl,63022_2021110506212917,stopped,no,yes,0,Yes.
qwen2vl,44011_2021110218533187,bikes,yes,no,0,No.
qwen2vl,143011_2021110315151791,bikes,yes,no,0,No.
qwen2vl,42011_2021110414301263,bikes,yes,no,0,No.
qwen2vl,144011_2021110319162791,bikes,yes,no,0,No.
qwen2vl,14011_2021110314202905,bikes,yes,no,0,No.
qwen2vl,14011_2021110419271000,bikes,yes,no,0,No.
qwen2vl,34022_2021110420061070,bikes,yes,no,0,No.
qwen2vl,12011_2021110418252812,bikes,yes,yes,1,Yes.
qwen2vl,43022_2021110414585383,bikes,yes,no,0,No.
qwen2vl,62011_2021110419231505,bikes,yes,no,0,No.
qwen2vl,141022_2021110408551180,bikes,yes,no,0,No.
qwen2vl,163011_2021110318425875,bikes,yes,no,0,No.
qwen2vl,101011_2021110219585200,bikes,yes,no,0,No.
qwen2vl,33011_2021110217521160,bikes,yes,no,0,No.
qwen2vl,43011_2021110320375661,bikes,yes,no,0,No.
qwen2vl,83011_2021110317305384,bikes,yes,no,0,No.
qwen2vl,41011_2021110414045692,bikes,yes,no,0,No.
qwen2vl,34011_2021110407101284,bikes,yes,no,0,No.
qwen2vl,164011_2021110217514350,bikes,yes,no,0,No.
qwen2vl,14011_2021110219002903,bikes,yes,no,0,No.
qwen2vl,121011_2021110318272741,bikes,yes,no,0,No.
qwen2vl,141022_2021110414093297,bikes,yes,no,0,No.
qwen2vl,122011_2021090814264323,bikes,yes,no,0,No.
qwen2vl,42011_2021110219165121,bikes,yes,no,0,No.
qwen2vl,13011_2021110415534912,bikes,yes,no,0,No.
qwen2vl,71011_2021110320045216,bikes,yes,no,0,No.
qwen2vl,12011_2021110413581250,bikes,yes,no,0,No.
qwen2vl,111022_2021110220215491,bikes,yes,no,0,No.
qwen2vl,54011_2021110418323400,bikes,yes,no,0,No.
qwen2vl,84011_2021090815445174,bikes,yes,no,0,No.
qwen2vl,34011_2021110415541219,bikes,no,no,1,No.
qwen2vl,123022_2021110217440660,bikes,no,no,1,No.
qwen2vl,52011_2021110415395343,bikes,no,no,1,No.
qwen2vl,51011_2021110407073317,bikes,no,no,1,No.
qwen2vl,111022_2021110418142644,bikes,no,no,1,No.
qwen2vl,121022_2021110414005300,bikes,no,no,1,No.
qwen2vl,93022_2021090906485194,bikes,no,no,1,No.
qwen2vl,61011_2021110219451139,bikes,no,no,1,No.
qwen2vl,153011_2021110418332384,bikes,no,no,1,No.
qwen2vl,132011_2021110219073578,bikes,no,no,1,No.
qwen2vl,11022_2021090909042327,bikes,no,no,1,No.
qwen2vl,153011_2021090906405300,bikes,no,no,1,No.
qwen2vl,112011_2021090907233958,bikes,no,no,1,No.
qwen2vl,61022_2021110314272800,bikes,no,no,1,No.
qwen2vl,131022_2021090907432128,bikes,no,no,1,No.
qwen2vl,131011_2021110407080167,bikes,no,no,1,No.
qwen2vl,53011_2021110506364157,bikes,no,no,1,No.
qwen2vl,151011_2021110315572764,bikes,no,no,1,No.
qwen2vl,24011_2021110414292550,bikes,no,no,1,No.
qwen2vl,164011_2021110418291400,bikes,no,yes,0,Yes.
qwen2vl,42011_2021110408065027,bikes,no,no,1,No.
qwen2vl,14011_2021110415002763,bikes,no,no,1,No.
qwen2vl,42022_2021110319165157,bikes,no,no,1,No.
qwen2vl,62011_2021110406582700,bikes,no,no,1,No.
qwen2vl,32011_2021110415541319,bikes,no,no,1,No.
qwen2vl,134011_2021110318042916,bikes,no,no,1,No.
qwen2vl,162011_2021110414294040,bikes,no,no,1,No.
qwen2vl,131011_2021110420094503,bikes,no,no,1,No.
qwen2vl,134011_2021090816012296,bikes,no,no,1,No.
qwen2vl,93022_2021090814594114,bikes,no,no,1,No.
