model,visual_video_id,qtype,gold,pred,correct,raw
internvl3,134011_2021090907300306,stopped,yes,yes,1,Yes.
internvl3,113022_2021090906393430,stopped,yes,yes,1,Yes.
internvl3,92022_2021090814390957,stopped,yes,yes,1,Yes.
internvl3,43011_2021090906250600,stopped,yes,yes,1,Yes.
internvl3,123011_2021090906240700,stopped,yes,yes,1,Yes.
internvl3,93011_2021110318144260,stopped,no,yes,0,Yes.
internvl3,43011_2021110318085033,stopped,no,yes,0,Yes.
internvl3,113011_2021110320142592,stopped,no,yes,0,Yes.
internvl3,92011_2021110407412630,stopped,no,yes,0,Yes.
internvl3,31022_2021110314435263,stopped,no,yes,0,Yes.
internvl3,134011_2021110407595744,stopped,no,yes,0,Yes.
internvl3,72011_2021110419135637,stopped,no,yes,0,Yes.
internvl3,122011_2021110414534270,stopped,no,yes,0,Yes.
internvl3,134022_2021110315592132,stopped,no,yes,0,Yes.
internvl3,33011_2021110406521205,stopped,no,yes,0,Yes.
internvl3,112022_2021110415204636,stopped,no,yes,0,Yes.
internvl3,22011_2021110418555453,stopped,no,yes,0,Yes.
internvl3,63022_2021110420353830,stopped,no,yes,0,Yes.
internvl3,61011_2021110417315700,stopped,no,yes,0,Yes.
internvl3,141011_2021110414401884,stopped,no,yes,0,Yes.
internvl3,161011_2021110319452842,stopped,no,yes,0,Yes.
internvl3,21022_2021110318332573,stopped,no,yes,0,Yes.
internvl3,92022_2021110415201311,stopped,no,yes,0,Yes.
internvl3,61011_2021110506290700,stopped,no,yes,0,Yes.
internvl3,22011_2021110219264000,stopped,no,yes,0,Yes.
internvl3,93011_2021110415295526,stopped,no,yes,0,Yes.
internvl3,43011_2021110408584900,stopped,no,yes,0,Yes.
internvl3,134022_2021110219515373,stopped,no,yes,0,Yes.
internvl3,83011_2021110313520477,stopped,no,yes,0,Yes.
internvl3,13022_2021110418434953,stopped,no,yes,0,Yes.
internvl3,33011_2021110406321063,stopped,no,yes,0,Yes.
internvl3,81011_2021110317241397,stopped,no,yes,0,Yes.
internvl3,132011_2021110415244227,stopped,no,yes,0,Yes.
internvl3,161011_2021110406203013,stopped,no,yes,0,Yes.
internvl3,63022_2021110506212917,stopped,no,yes,0,Yes.
internvl3,44011_2021110218533187,bikes,yes,yes,1,Yes.
internvl3,143011_2021110315151791,bikes,yes,yes,1,Yes.
internvl3,42011_2021110414301263,bikes,yes,yes,1,Yes.
internvl3,144011_2021110319162791,bikes,yes,yes,1,Yes.
internvl3,14011_2021110314202905,bikes,yes,yes,1,Yes.
internvl3,14011_2021110419271000,bikes,yes,yes,1,Yes.
internvl3,34022_2021110420061070,bikes,yes,no,0,No.
internvl3,12011_2021110418252812,bikes,yes,yes,1,Yes.
internvl3,43022_2021110414585383,bikes,yes,no,0,No.
internvl3,62011_2021110419231505,bikes,yes,yes,1,Yes.
internvl3,141022_2021110408551180,bikes,yes,no,0,No.
internvl3,163011_2021110318425875,bikes,yes,yes,1,Yes.
internvl3,101011_2021110219585200,bikes,yes,yes,1,Yes.
internvl3,33011_2021110217521160,bikes,yes,yes,1,Yes.
internvl3,43011_2021110320375661,bikes,yes,no,0,No.
internvl3,83011_2021110317305384,bikes,yes,yes,1,Yes.
internvl3,41011_2021110414045692,bikes,yes,yes,1,Yes.
internvl3,34011_2021110407101284,bikes,yes,yes,1,Yes.
internvl3,164011_2021110217514350,bikes,yes,yes,1,Yes.
internvl3,14011_2021110219002903,bikes,yes,yes,1,Yes.
internvl3,121011_2021110318272741,bikes,yes,yes,1,Yes.
internvl3,141022_2021110414093297,bikes,yes,yes,1,Yes.
internvl3,122011_2021090814264323,bikes,yes,yes,1,Yes.
internvl3,42011_2021110219165121,bikes,yes,yes,1,Yes.
internvl3,13011_2021110415534912,bikes,yes,yes,1,Yes.
internvl3,71011_2021110320045216,bikes,yes,yes,1,Yes.
internvl3,12011_2021110413581250,bikes,yes,yes,1,Yes.
internvl3,111022_2021110220215491,bikes,yes,yes,1,Yes.
internvl3,54011_2021110418323400,bikes,yes,yes,1,Yes.
internvl3,84011_2021090815445174,bikes,yes,yes,1,Yes.
internvl3,34011_2021110415541219,bikes,no,yes,0,Yes.
internvl3,123022_2021110217440660,bikes,no,yes,0,Yes.
internvl3,52011_2021110415395343,bikes,no,no,1,No.
internvl3,51011_2021110407073317,bikes,no,no,1,No.
internvl3,111022_2021110418142644,bikes,no,yes,0,Yes.
internvl3,121022_2021110414005300,bikes,no,yes,0,Yes.
internvl3,93022_2021090906485194,bikes,no,no,1,No.
internvl3,61011_2021110219451139,bikes,no,yes,0,Yes.
internvl3,153011_2021110418332384,bikes,no,yes,0,Yes.
internvl3,132011_2021110219073578,bikes,no,no,1,No.
internvl3,11022_2021090909042327,bikes,no,yes,0,Yes.
internvl3,153011_2021090906405300,bikes,no,no,1,No.
internvl3,112011_2021090907233958,bikes,no,yes,0,Yes.
internvl3,61022_2021110314272800,bikes,no,no,1,No.
internvl3,131022_2021090907432128,bikes,no,no,1,No.
internvl3,131011_2021110407080167,bikes,no,no,1,No.
internvl3,53011_2021110506364157,bikes,no,no,1,No.
internvl3,151011_2021110315572764,bikes,no,yes,0,Yes.
internvl3,24011_2021110414292550,bikes,no,no,1,No.
internvl3,164011_2021110418291400,bikes,no,yes,0,Yes.
internvl3,42011_2021110408065027,bikes,no,yes,0,Yes.
internvl3,14011_2021110415002763,bikes,no,yes,0,Yes.
internvl3,42022_2021110319165157,bikes,no,no,1,No.
internvl3,62011_2021110406582700,bikes,no,no,1,No.
internvl3,32011_2021110415541319,bikes,no,yes,0,Yes.
internvl3,134011_2021110318042916,bikes,no,no,1,No.
internvl3,162011_2021110414294040,bikes,no,no,1,No.
internvl3,131011_2021110420094503,bikes,no,no,1,No.
internvl3,134011_2021090816012296,bikes,no,no,1,No.
internvl3,93022_2021090814594114,bikes,no,no,1,No.
